Customer_ID,Customer_Name,Gender,Age,Age_Group,Geography_ID,Acquisition_Channel_ID,Customer_Segment,Registration_Date,Is_Active
1,Siddharth Mehta,Male,24,18-25,26,3,Premium,2025-07-30,True
2,Neha Gupta,Female,49,46-55,19,5,Standard,2025-07-26,True
3,Siddharth Das,Male,61,56-65,23,4,Premium,2025-06-19,True
4,Aarav Joshi,Male,48,46-55,30,3,Standard,2025-06-05,True
5,Kavya Pillai,Female,49,46-55,28,6,VIP,2025-04-27,True
6,Vikram Joshi,Male,46,46-55,25,3,Standard,2025-11-27,True
7,Rohan Verma,Male,31,26-35,30,4,Premium,2025-07-11,True
8,Akash Mehta,Male,28,26-35,3,3,Standard,2025-09-26,True
9,Rahul Patel,Male,30,26-35,27,1,Standard,2025-07-04,True
10,Vikram Rao,Male,47,46-55,17,4,Standard,2025-01-16,True
11,Aditya Verma,Male,56,56-65,15,2,Inactive,2025-08-31,False
12,Pooja Kumar,Female,34,26-35,24,6,Standard,2025-01-26,True
13,Vivek Das,Male,31,26-35,28,2,Standard,2025-05-18,True
14,Divya Sharma,Female,61,56-65,1,4,Inactive,2025-11-28,False
15,Siddharth Mehta,Male,18,18-25,8,3,Premium,2025-12-31,True
16,Neha Naidu,Female,42,36-45,28,3,Standard,2025-06-04,True
17,Ishita Reddy,Female,18,18-25,17,6,Inactive,2025-07-11,False
18,Kavya Gupta,Female,24,18-25,16,1,Standard,2025-06-16,True
19,Kavya Gupta,Female,63,56-65,29,6,Standard,2025-05-04,True
20,Harsh Pillai,Male,56,56-65,13,6,Standard,2025-01-14,True
21,Kavya Nair,Female,44,36-45,13,4,Standard,2025-10-20,True
22,Aditya Joshi,Male,63,56-65,8,6,Premium,2025-12-10,True
23,Divya Nair,Female,28,26-35,27,6,Standard,2025-02-19,True
24,Sneha Joshi,Female,34,26-35,24,5,Standard,2025-12-15,True
25,Meera Reddy,Female,32,26-35,12,2,Standard,2025-06-19,True
26,Kavya Das,Female,36,36-45,15,1,Premium,2025-10-26,True
27,Varun Naidu,Male,30,26-35,17,1,Standard,2025-06-02,True
28,Ananya Pillai,Female,27,26-35,5,2,VIP,2025-08-23,True
29,Aditya Pillai,Male,63,56-65,6,1,Standard,2025-04-01,True
30,Meera Sharma,Female,18,18-25,15,3,Premium,2025-10-23,True
31,Varun Mehta,Male,23,18-25,5,5,Standard,2025-08-08,True
32,Neha Sharma,Female,20,18-25,18,2,VIP,2025-06-14,True
33,Aarav Gupta,Male,18,18-25,21,6,Standard,2025-06-26,True
34,Sneha Reddy,Female,42,36-45,17,5,Standard,2025-01-24,True
35,Kavya Verma,Female,64,56-65,17,5,Standard,2025-12-18,True
36,Aditya Naidu,Male,49,46-55,12,2,Premium,2025-07-26,True
37,Rohan Patel,Male,64,56-65,5,2,Standard,2025-03-28,True
38,Aditya Joshi,Male,59,56-65,26,1,Standard,2025-10-01,True
39,Siddharth Sharma,Male,60,56-65,4,6,Standard,2025-03-01,True
40,Shreya Singh,Female,25,18-25,18,3,Standard,2025-12-22,True
41,Vikram Singh,Male,60,56-65,4,6,Standard,2025-12-25,True
42,Karan Pillai,Male,24,18-25,17,6,Standard,2025-02-24,True
43,Aishwarya Das,Female,30,26-35,25,3,VIP,2025-07-03,True
44,Kavya Kumar,Female,20,18-25,18,4,Inactive,2025-12-19,False
45,Pooja Patel,Female,18,18-25,1,6,Standard,2025-10-21,True
46,Sneha Reddy,Female,50,46-55,3,6,Premium,2025-11-26,True
47,Varun Nair,Male,34,26-35,15,1,Standard,2025-01-21,True
48,Pooja Mehta,Female,61,56-65,11,4,Standard,2025-01-24,True
49,Vivek Kumar,Male,60,56-65,21,2,Premium,2025-11-15,True
50,Lakshmi Joshi,Female,23,18-25,12,3,Standard,2025-08-22,True
51,Nandini Singh,Female,62,56-65,28,4,Standard,2025-03-27,True
52,Rahul Joshi,Male,64,56-65,2,2,Premium,2025-09-05,True
53,Sneha Das,Female,42,36-45,25,3,Premium,2025-03-08,True
54,Lakshmi Verma,Female,25,18-25,29,4,Standard,2025-12-02,True
55,Ananya Joshi,Female,61,56-65,17,6,Standard,2025-12-09,True
56,Divya Iyer,Female,62,56-65,23,5,Standard,2025-05-08,True
57,Pooja Gupta,Female,61,56-65,21,4,Premium,2025-11-10,True
58,Aarav Gupta,Male,28,26-35,17,4,Premium,2025-02-08,True
59,Pooja Patel,Female,39,36-45,9,1,Standard,2025-07-13,True
60,Nandini Patel,Female,23,18-25,15,4,Standard,2025-09-13,True
61,Pooja Reddy,Female,49,46-55,24,6,Standard,2025-01-19,True
62,Vivek Reddy,Male,56,56-65,20,6,Standard,2025-04-16,True
63,Pooja Rao,Female,21,18-25,27,2,Standard,2025-11-14,True
64,Swati Gupta,Female,41,36-45,23,4,Premium,2025-04-24,True
65,Aditya Rao,Male,58,56-65,26,3,Standard,2025-02-24,True
66,Anil Kumar,Male,49,46-55,5,6,Standard,2025-05-11,True
67,Rohan Reddy,Male,43,36-45,7,4,Standard,2025-06-23,True
68,Harsh Singh,Male,20,18-25,30,6,Standard,2025-08-19,True
69,Meera Das,Female,50,46-55,5,4,Premium,2025-10-11,True
70,Nandini Das,Female,48,46-55,30,5,Premium,2025-12-21,True
71,Nikhil Pillai,Male,26,26-35,4,4,Standard,2025-06-14,True
72,Neha Das,Female,62,56-65,25,2,VIP,2025-05-31,True
73,Riya Kumar,Female,26,26-35,14,5,Premium,2025-06-03,True
74,Swati Joshi,Female,53,46-55,21,2,Standard,2025-05-29,True
75,Lakshmi Gupta,Female,26,26-35,23,6,Inactive,2025-04-02,False
76,Swati Reddy,Female,40,36-45,18,4,Premium,2025-12-30,True
77,Meera Joshi,Female,52,46-55,10,4,Standard,2025-01-13,True
